standby mode,EHigh,Elow,ZCal,cal threshold,Cal Bypass,Cal Algorithm,TCD Algorithm,BCD Algorithm,flight mode,DataPaths
2018-05-09 02:52:34,Cal,N/C,CDTRG2,-70 DAC,0 Layers,6 Layers,1 Hit,2 Hits,2018-05-09 03:03:14,"['20180509-055339.root', '20180509-032325.root', '20180509-104359.root', '20180509-103358.root', '20180509-092353.root', '20180509-042332.root', '20180509-072341.root', '20180509-060730.root', '20180509-051329.root', '20180509-083353.root', '20180509-102358.root', '20180509-081347.root', '20180509-040612.root', '20180509-100645.root', '20180509-065339.root', '20180509-101358.root', '20180509-071341.root', '20180509-091159.root', '20180509-084349.root', '20180509-063338.root', '20180509-035327.root', '20180509-041324.root', '20180509-064338.root', '20180509-095356.root', '20180509-054332.root', '20180509-031325.root', '20180509-071217.root', '20180509-085356.root', '20180509-053332.root', '20180509-030336.root', '20180509-105400.root', '20180509-093400.root', '20180509-051142.root', '20180509-073342.root', '20180509-034321.root', '20180509-052331.root', '20180509-061335.root', '20180509-082347.root', '20180509-033320.root', '20180509-091353.root']"
2018-05-09 10:56:28,N/C,N/C,N/C,N/C,N/C,N/C,N/C,N/C,2018-05-09 10:57:36,"['20180509-105800.root', '20180509-111321.root']"
2018-05-09 11:30:52,Cal,N/C,CDTRG2,-70 DAC,0 Layers,6 Layers,1 Hit,2 Hits,2018-05-09 11:43:52,['20180509-114431.root']
2018-05-09 11:45:39,Cal,CDTRG2,CDTRG2,N/C,N/C,N/C,N/C,N/C,2018-05-09 11:46:16,"['20180509-114739.root', '20180509-114637.root']"
2018-05-09 13:05:39,Cal,CDTRG2,CDTRG2,-70 DAC,0 Layers,6 Layers,1 Hit,2 Hits,2018-05-09 13:15:58,['20180509-131615.root']
2018-05-09 13:19:58,N/C,N/C,N/C,N/C,N/C,N/C,N/C,N/C,2018-05-10 02:33:51,"['20180510-061420.root', '20180510-051408.root', '20180510-031403.root', '20180510-065419.root', '20180510-073439.root', '20180510-044412.root', '20180510-034359.root', '20180510-035401.root', '20180510-054411.root', '20180510-083804.root', '20180510-073258.root', '20180510-064423.root', '20180510-075425.root', '20180510-053427.root', '20180510-033237.root', '20180510-045406.root', '20180510-030402.root', '20180510-091436.root', '20180510-024401.root', '20180510-081430.root', '20180510-074422.root', '20180510-060414.root', '20180510-053247.root', '20180510-050408.root', '20180510-080430.root', '20180510-023411.root', '20180510-033423.root', '20180510-063756.root', '20180510-025356.root', '20180510-043750.root', '20180510-070424.root', '20180510-071421.root', '20180510-062416.root', '20180510-040403.root', '20180510-072421.root', '20180510-090430.root', '20180510-082427.root', '20180510-052410.root', '20180510-055418.root', '20180510-032358.root']"
2018-05-10 09:15:30,Cal,CDTRG2,CDTRG2,N/C,N/C,6 Layers,N/C,N/C,2018-05-10 09:19:41,"['20180510-093946.root', '20180510-092944.root', '20180510-094948.root', '20180510-092001.root']"
2018-05-10 09:56:53,N/C,N/C,N/C,N/C,N/C,N/C,N/C,N/C,2018-05-10 09:58:16,"['20180510-102343.root', '20180510-104830.root', '20180510-105840.root', '20180510-110826.root', '20180510-103822.root', '20180510-095839.root', '20180510-101821.root', '20180510-114836.root', '20180510-100819.root', '20180510-112955.root', '20180510-113834.root', '20180510-111826.root']"
2018-05-10 12:17:07,N/C,N/C,N/C,N/C,N/C,N/C,N/C,N/C,2018-05-10 12:25:23,[]
2018-05-10 12:25:23,N/C,N/C,N/C,N/C,N/C,N/C,N/C,N/C,2018-05-11 01:38:31,['20180511-013835.root']
2018-05-11 01:38:36,N/C,N/C,N/C,-70 DAC,0 Layers,6 Layers,1 Hit,2 Hits,2018-05-11 01:52:10,[]
2018-05-11 02:05:23,Cal,CDTRG2,CDTRG2,-70 DAC,0 Layers,6 Layers,1 Hit,2 Hits,2018-05-11 02:26:50,['20180511-022708.root']
2018-05-11 02:32:04,N/C,N/C,N/C,N/C,N/C,N/C,N/C,N/C,2018-05-11 02:34:51,"['20180511-041503.root', '20180511-043737.root', '20180511-033515.root', '20180511-063719.root', '20180511-064523.root', '20180511-040507.root', '20180511-094539.root', '20180511-083748.root', '20180511-055518.root', '20180511-103739.root', '20180511-081531.root', '20180511-074527.root', '20180511-090530.root', '20180511-071520.root', '20180511-085528.root', '20180511-053532.root', '20180511-060519.root', '20180511-102536.root', '20180511-065522.root', '20180511-035501.root', '20180511-092530.root', '20180511-025455.root', '20180511-073544.root', '20180511-045513.root', '20180511-114545.root', '20180511-070525.root', '20180511-104544.root', '20180511-073233.root', '20180511-031504.root', '20180511-030502.root', '20180511-052515.root', '20180511-032504.root', '20180511-023512.root', '20180511-053328.root', '20180511-100542.root', '20180511-080530.root', '20180511-054517.root', '20180511-051509.root', '20180511-105540.root', '20180511-111542.root', '20180511-082525.root', '20180511-050506.root', '20180511-024453.root', '20180511-113557.root', '20180511-034506.root', '20180511-110540.root', '20180511-084533.root', '20180511-091530.root', '20180511-112542.root', '20180511-095539.root', '20180511-062521.root', '20180511-075528.root', '20180511-101542.root', '20180511-113255.root', '20180511-061514.root', '20180511-044504.root']"
2018-05-12 01:46:44,Cal,CDTRG2,CDTRG2,-70 DAC,0 Layers,6 Layers,1 Hit,2 Hits,2018-05-12 02:14:17,"['20180512-063443.root', '20180512-102319.root', '20180512-072454.root', '20180512-044434.root', '20180512-105514.root', '20180512-074451.root', '20180512-053443.root', '20180512-092506.root', '20180512-023427.root', '20180512-054438.root', '20180512-064444.root', '20180512-080458.root', '20180512-111758.root', '20180512-055439.root', '20180512-071737.root', '20180512-100508.root', '20180512-042302.root', '20180512-060447.root', '20180512-073448.root', '20180512-042437.root', '20180512-110509.root', '20180512-102510.root', '20180512-035435.root', '20180512-022427.root', '20180512-091748.root', '20180512-103511.root', '20180512-050853.root', '20180512-095501.root', '20180512-083500.root', '20180512-093459.root', '20180512-090457.root', '20180512-085457.root', '20180512-040428.root', '20180512-082459.root', '20180512-043431.root', '20180512-075456.root', '20180512-094508.root', '20180512-082319.root', '20180512-021437.root', '20180512-104507.root']"
2018-05-13 00:46:33,Cal,CDTRG2,CDTRG2,-70 DAC,0 Layers,6 Layers,1 Hit,2 Hits,2018-05-13 01:14:29,"['20180513-112247.root', '20180513-114535.root', '20180513-093517.root', '20180513-082517.root', '20180513-035448.root', '20180513-033950.root', '20180513-014440.root', '20180513-044457.root', '20180513-112533.root', '20180513-120530.root', '20180513-011449.root', '20180513-094519.root', '20180513-022439.root', '20180513-052302.root', '20180513-092255.root', '20180513-064501.root', '20180513-074508.root', '20180513-102528.root', '20180513-080509.root', '20180513-053501.root', '20180513-020435.root', '20180513-063507.root', '20180513-023440.root', '20180513-090521.root', '20180513-100527.root', '20180513-062508.root', '20180513-120456.root', '20180513-055457.root', '20180513-021725.root', '20180513-104525.root', '20180513-065502.root', '20180513-113529.root', '20180513-034447.root', '20180513-015442.root', '20180513-045459.root', '20180513-083518.root', '20180513-103523.root', '20180513-095526.root', '20180513-070504.root', '20180513-073513.root', '20180513-041750.root', '20180513-081800.root', '20180513-050500.root', '20180513-075508.root', '20180513-052500.root', '20180513-084513.root', '20180513-101527.root', '20180513-054456.root', '20180513-012439.root', '20180513-085514.root', '20180513-101809.root', '20180513-040453.root', '20180513-013434.root']"
2018-05-14 00:11:20,Cal,CDTRG2,CDTRG2,-70 DAC,0 Layers,6 Layers,1 Hit,2 Hits,2018-05-14 00:24:03,"['20180514-105511.root', '20180514-031422.root', '20180514-060437.root', '20180514-103501.root', '20180514-023424.root', '20180514-053442.root', '20180514-073446.root', '20180514-072734.root', '20180514-005410.root', '20180514-012700.root', '20180514-070449.root', '20180514-034432.root', '20180514-095459.root', '20180514-043429.root', '20180514-043159.root', '20180514-040426.root', '20180514-054443.root', '20180514-030421.root', '20180514-052722.root', '20180514-041433.root', '20180514-081456.root', '20180514-104504.root', '20180514-092746.root', '20180514-015414.root', '20180514-075454.root', '20180514-083213.root', '20180514-093457.root', '20180514-004415.root', '20180514-090500.root', '20180514-035432.root', '20180514-002422.root', '20180514-065441.root', '20180514-024425.root', '20180514-044431.root', '20180514-010410.root', '20180514-013419.root', '20180514-084458.root', '20180514-021422.root', '20180514-074447.root', '20180514-020422.root', '20180514-080448.root', '20180514-100507.root', '20180514-014419.root', '20180514-011416.root', '20180514-064448.root', '20180514-091455.root', '20180514-085453.root', '20180514-063441.root', '20180514-101507.root', '20180514-071450.root', '20180514-055444.root', '20180514-051439.root', '20180514-094457.root', '20180514-003406.root', '20180514-110505.root', '20180514-025421.root', '20180514-063216.root', '20180514-045431.root', '20180514-103230.root', '20180514-033429.root', '20180514-032713.root']"
2018-05-15 00:47:22,Cal,CDTRG2,CDTRG2,-70 DAC,0 Layers,6 Layers,1 Hit,2 Hits,2018-05-15 01:02:45,"['20180515-041313.root', '20180515-035303.root', '20180515-100638.root', '20180515-093339.root', '20180515-082335.root', '20180515-022256.root', '20180515-051312.root', '20180515-043315.root', '20180515-071329.root', '20180515-064319.root', '20180515-040602.root', '20180515-085339.root', '20180515-080623.root', '20180515-021256.root', '20180515-054319.root', '20180515-080330.root', '20180515-065320.root', '20180515-073325.root', '20180515-081327.root', '20180515-062255.root', '20180515-042308.root', '20180515-062319.root', '20180515-014253.root', '20180515-072331.root', '20180515-092856.root', '20180515-013258.root', '20180515-015253.root', '20180515-010310.root', '20180515-094337.root', '20180515-075332.root', '20180515-044316.root', '20180515-083336.root', '20180515-063323.root', '20180515-011255.root', '20180515-045309.root', '20180515-051143.root', '20180515-012251.root', '20180515-032302.root', '20180515-034304.root', '20180515-024257.root', '20180515-033308.root', '20180515-025300.root', '20180515-055323.root', '20180515-031130.root', '20180515-071153.root', '20180515-084331.root', '20180515-020549.root']"
2018-05-16 00:21:57,Cal,CDTRG2,CDTRG2,-70 DAC,0 Layers,6 Layers,1 Hit,2 Hits,2018-05-16 00:30:08,['20180516-003030.root']
